"","SRR6396793","SRR6396794","SRR6396795","SRR6396796","SRR6396797","SRR6396798","SRR6396799","SRR6396800","SRR6396801","SRR6396802","SRR6396803"
"ENSRNOG00000006615",56,45,89,18,126,168,662,659,1599,2548,2465
"ENSRNOG00000068296",401,376,761,191,855,971,294,339,754,616,671
"ENSRNOG00000025679",1557,1643,3301,883,2997,3962,1222,1145,2969,2397,2610
"ENSRNOG00000070364",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000007527",228,200,411,95,446,598,629,517,1198,1107,1150
"ENSRNOG00000024259",0,0,1,0,2,3,65,70,201,43,29
"ENSRNOG00000010849",94,101,117,31,195,209,1221,1265,2985,2549,2670
"ENSRNOG00000006979",4,6,25,2,19,17,69,77,217,93,81
"ENSRNOG00000007551",192,200,311,71,331,410,485,544,1294,1386,1420
"ENSRNOG00000011033",9653,9451,16743,4528,16152,21797,25,24,45,37,38
"ENSRNOG00000051507",17354,17454,38032,10621,40217,44763,212,195,436,564,768
"ENSRNOG00000010514",4,6,12,5,16,25,1014,1003,2441,1442,1335
"ENSRNOG00000067048",62,54,73,27,112,88,1449,1511,2952,5153,5171
"ENSRNOG00000007299",48,70,92,16,118,131,332,352,728,696,687
"ENSRNOG00000007753",366,363,658,168,660,856,1747,1623,3865,4165,4044
"ENSRNOG00000010237",224,240,411,111,457,524,2553,2470,5855,5103,5254
"ENSRNOG00000009113",346,333,501,123,483,531,1566,1614,2891,2874,3443
"ENSRNOG00000009568",2363,2431,4465,1101,4429,6028,3015,3066,6320,4600,4569
"ENSRNOG00000008548",135,137,236,69,237,339,20,21,52,25,30
"ENSRNOG00000013838",3,3,5,0,3,14,2,1,2,3,4
"ENSRNOG00000042455",2,5,6,0,7,8,87,89,226,645,548
"ENSRNOG00000008118",21,21,13,8,37,26,177,183,398,598,614
"ENSRNOG00000021492",833,872,1831,458,1887,2307,1895,1888,4526,5553,5464
"ENSRNOG00000008279",1361,1443,2443,525,2565,2915,1026,1031,2209,1707,1719
"ENSRNOG00000008226",498,599,999,248,1004,1204,874,778,1704,1597,1548
"ENSRNOG00000026978",10348,10453,15908,4059,17268,21560,637,619,1445,883,854
"ENSRNOG00000008300",8,6,12,1,18,14,383,349,836,826,849
"ENSRNOG00000066371",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000026898",1,6,10,7,9,16,58,74,157,60,62
"ENSRNOG00000031475",4039,4154,8452,2071,8725,9572,1845,1920,6560,12050,14408
"ENSRNOG00000024788",3,3,4,0,6,3,0,1,0,3,1
"ENSRNOG00000000122",470,469,898,235,845,958,1897,1905,4076,3778,4435
"ENSRNOG00000013972",356,364,597,180,686,735,972,947,1998,2191,2253
"ENSRNOG00000012989",5,7,9,3,5,9,121,125,333,163,164
"ENSRNOG00000059897",6,3,7,1,3,8,23,23,57,8,7
"ENSRNOG00000050044",1968,1984,3297,704,3533,4152,4535,4498,10457,12809,12922
"ENSRNOG00000010007",870,837,1763,442,1631,2038,2051,2084,4032,4634,5063
"ENSRNOG00000046794",1227,1313,2337,555,2378,2874,4297,4144,9233,10359,10807
"ENSRNOG00000013515",735,710,1560,467,1732,2181,87,73,210,395,501
"ENSRNOG00000064683",4,5,7,2,5,8,1292,1240,3717,2959,1344
"ENSRNOG00000008992",11,12,8,1,16,12,43,42,144,22,17
"ENSRNOG00000013865",208,240,464,120,443,515,552,494,1077,900,962
"ENSRNOG00000053991",233,211,406,108,396,458,2127,2127,4330,4572,4768
"ENSRNOG00000028083",161,156,271,76,318,330,357,377,720,651,703
"ENSRNOG00000030238",134,127,189,49,274,240,144,165,433,251,211
"ENSRNOG00000020173",80,76,84,24,126,142,1269,1222,3001,1763,1870
"ENSRNOG00000020259",0,0,0,0,1,0,2,1,8,5,0
"ENSRNOG00000010892",542,514,939,226,1046,1210,1483,1448,2879,3349,3358
"ENSRNOG00000008572",63,63,79,23,91,90,236,255,529,473,453
"ENSRNOG00000011751",184,168,349,88,389,461,993,980,2132,1532,1634
"ENSRNOG00000022199",834,824,1935,473,1643,1968,10,10,24,24,32
"ENSRNOG00000069006",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000012204",3296,3555,6330,1703,6529,8076,1350,1378,3186,3656,3591
"ENSRNOG00000054626",1431,1561,2350,549,2581,2856,15682,15540,34032,31076,31963
"ENSRNOG00000013005",223,179,351,75,374,450,1673,1674,3379,2879,2936
"ENSRNOG00000009597",0,1,1,0,0,0,0,0,2,1,2
"ENSRNOG00000055078",9,2,7,3,7,20,7,8,38,43,27
"ENSRNOG00000065071",1,0,1,1,4,4,4,0,1,1,0
"ENSRNOG00000007922",0,0,1,0,1,0,5,7,17,42,48
"ENSRNOG00000018363",422,464,848,218,1011,1015,514,502,1096,873,863
"ENSRNOG00000037518",23,8,33,5,21,19,206,204,376,334,337
"ENSRNOG00000028659",265,249,598,153,572,604,1743,1688,4098,2308,2340
"ENSRNOG00000012397",2258,2146,4082,917,4288,5486,3242,3282,7955,6276,6072
"ENSRNOG00000028477",664,692,1288,353,1440,1559,730,698,1605,1498,1504
"ENSRNOG00000028448",111,104,168,41,186,184,1055,1100,2292,2129,2270
"ENSRNOG00000028415",1783,1880,3391,902,3596,4068,1931,1992,4389,4952,5090
"ENSRNOG00000014357",21,16,39,6,35,35,377,358,666,660,620
"ENSRNOG00000067866",0,0,0,0,2,0,1,1,0,1,1
"ENSRNOG00000028377",44,33,132,42,122,195,3,6,15,25,19
"ENSRNOG00000014372",32,30,50,19,51,57,74,67,145,83,80
"ENSRNOG00000019479",602,659,1348,390,1336,2203,38,25,63,28,12
"ENSRNOG00000062954",3,4,11,1,8,21,2,5,28,8,21
"ENSRNOG00000037620",44,45,83,20,70,100,120,114,260,363,428
"ENSRNOG00000058461",1968,1984,3719,869,3877,5259,7515,7503,14877,21039,20789
"ENSRNOG00000013855",290,297,581,131,616,779,662,678,1480,836,858
"ENSRNOG00000007111",27208,27470,59976,14791,61953,76511,3737,3629,8039,7076,6808
"ENSRNOG00000010932",0,1,0,0,0,2,19,21,24,5,3
"ENSRNOG00000007099",573,541,1110,297,1135,1382,1870,1823,4470,2595,2855
"ENSRNOG00000007213",1443,1476,2783,741,3108,3664,1158,1162,2692,2576,2643
"ENSRNOG00000008113",96,82,166,35,264,182,1373,1372,3254,2963,2419
"ENSRNOG00000000127",2829,2936,5132,1305,5203,6757,953,911,2035,1942,1821
"ENSRNOG00000033593",4660,4564,9625,2331,9845,12159,2679,2602,5859,9307,9025
"ENSRNOG00000014375",44,60,112,20,132,118,647,598,1672,1044,922
"ENSRNOG00000055344",197,195,323,85,350,408,554,571,1178,1467,1547
"ENSRNOG00000013231",3,7,9,5,22,23,41,55,143,174,219
"ENSRNOG00000047185",1333,1291,2048,579,2270,2598,3305,3268,7217,5395,5570
"ENSRNOG00000049326",589,626,1056,257,1235,1298,208,196,417,405,411
"ENSRNOG00000008560",12924,12970,22457,5205,24065,30004,30,21,33,61,44
"ENSRNOG00000064585",77,88,198,43,224,207,35,43,58,95,126
"ENSRNOG00000069453",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000048553",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000037710",30,25,88,11,81,104,41,30,77,180,226
"ENSRNOG00000047578",0,0,0,0,0,2,1,1,1,3,5
"ENSRNOG00000048242",584,640,1118,313,1406,1540,3341,3346,7012,7909,7651
"ENSRNOG00000048288",550,574,957,260,1046,1226,501,475,1131,921,891
"ENSRNOG00000010396",1111,1142,2253,578,2361,2870,1990,1987,4725,5317,4995
"ENSRNOG00000010299",2896,3034,5620,1298,5845,7314,2726,2721,6435,12360,13022
"ENSRNOG00000024312",2230,2214,4720,1401,5149,6218,192,214,438,413,439
"ENSRNOG00000042326",79,88,108,25,131,120,704,747,1307,1221,1165
"ENSRNOG00000015318",47,58,41,19,88,71,1956,1941,4082,5360,5975
"ENSRNOG00000009540",28,27,68,21,61,66,11,6,21,18,15
"ENSRNOG00000028047",148,158,230,53,266,210,169,175,327,345,378
"ENSRNOG00000011054",70,78,58,20,137,110,82,61,242,386,554
"ENSRNOG00000012965",17,20,10,3,70,132,138,124,267,196,183
"ENSRNOG00000066253",5,10,3,1,12,12,4,8,22,4,24
"ENSRNOG00000064455",2,3,22,6,10,12,1,0,3,5,3
"ENSRNOG00000070423",0,0,0,0,0,0,0,0,0,1,0
"ENSRNOG00000067973",1,0,4,0,6,6,0,0,3,1,0
"ENSRNOG00000008377",6693,6782,13921,4072,13963,16512,1531,1496,3455,3471,3368
"ENSRNOG00000062918",0,0,0,0,1,0,0,0,0,0,0
"ENSRNOG00000013179",27,47,31,6,53,70,593,623,1316,1069,1350
"ENSRNOG00000064844",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000019977",714,681,1100,282,1341,1293,7231,7071,18446,16296,15725
"ENSRNOG00000063427",0,0,0,0,0,0,0,0,0,1,0
"ENSRNOG00000021663",72,80,166,31,186,165,353,329,584,874,836
"ENSRNOG00000042855",2630,2593,4656,1325,5258,6424,2304,2273,5390,5928,6172
"ENSRNOG00000007069",37,35,30,10,54,23,37,40,61,61,52
"ENSRNOG00000032639",23,13,44,8,29,31,761,683,1135,1133,1149
"ENSRNOG00000063845",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067073",96,105,195,41,178,201,367,386,630,1022,1021
"ENSRNOG00000008979",11,19,24,4,22,15,0,0,1,0,1
"ENSRNOG00000005730",277,280,495,125,622,714,1084,1052,2316,2638,2806
"ENSRNOG00000011171",11,8,18,7,38,24,55,45,132,46,33
"ENSRNOG00000006004",1060,1119,2438,602,2308,2765,2552,2471,5773,7211,7523
"ENSRNOG00000048703",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000011484",0,1,3,0,2,1,4,2,13,4,9
"ENSRNOG00000005935",13,25,28,12,48,33,55,64,165,429,596
"ENSRNOG00000059975",0,0,0,0,0,0,0,0,0,2,1
"ENSRNOG00000010735",362,357,695,222,770,872,1219,1180,2380,2835,2886
"ENSRNOG00000012595",20,17,42,6,30,38,28,18,63,57,50
"ENSRNOG00000011709",3013,3127,6382,1705,6256,7948,2540,2448,5679,6139,6113
"ENSRNOG00000009341",64,68,80,21,112,99,612,569,1364,1506,1439
"ENSRNOG00000008849",7,7,17,4,18,13,1,4,7,5,2
"ENSRNOG00000006200",65,75,102,29,127,189,50,71,111,16,12
"ENSRNOG00000014008",121,102,156,38,174,197,124,125,309,284,160
"ENSRNOG00000014274",197,204,372,89,405,528,558,561,1159,953,954
"ENSRNOG00000011927",57,47,55,18,136,119,1570,1667,3670,3730,3736
"ENSRNOG00000023746",795,816,1473,439,1558,2103,609,609,1245,877,895
"ENSRNOG00000015642",810,805,1666,394,1484,1884,6652,6673,15207,16404,16432
"ENSRNOG00000009912",12,19,17,3,34,37,62,65,151,95,85
"ENSRNOG00000037432",27,27,32,9,55,62,265,261,656,578,586
"ENSRNOG00000033209",205,228,166,48,203,334,9,9,14,10,4
"ENSRNOG00000042785",551,580,1081,309,1058,1077,906,822,1750,1824,1797
"ENSRNOG00000068555",68,69,112,22,118,117,70,77,137,103,116
"ENSRNOG00000013300",1269,1273,2200,542,2157,2757,1209,1175,2424,2156,2396
"ENSRNOG00000037340",143,152,353,105,427,502,10,8,32,11,12
"ENSRNOG00000006833",13460,13710,25249,5716,26548,34676,1319,1326,3432,3908,3791
"ENSRNOG00000070053",795,892,1490,430,1618,1558,0,1,3,2,2
"ENSRNOG00000030155",1,0,0,0,3,1,0,1,1,2,1
"ENSRNOG00000048506",161,185,280,75,347,347,831,757,1637,1876,1731
"ENSRNOG00000065942",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066500",0,0,0,0,0,2,1,1,2,2,4
"ENSRNOG00000025065",29,31,58,14,79,74,34,34,121,146,133
"ENSRNOG00000008807",16,9,38,10,30,54,6,2,5,12,3
"ENSRNOG00000060435",217,231,735,185,509,705,52,52,108,227,242
"ENSRNOG00000026646",116,106,244,47,228,278,315,324,704,518,565
"ENSRNOG00000008861",11,25,37,5,45,37,1,1,5,4,4
"ENSRNOG00000011421",1268,1247,2381,639,2504,2745,965,921,1989,2199,2376
"ENSRNOG00000009390",0,0,0,0,0,0,18,12,33,34,31
"ENSRNOG00000014259",14,18,14,8,22,26,118,145,322,194,212
"ENSRNOG00000008320",2878,2819,5240,1284,6183,6475,1716,1767,4644,3009,2962
"ENSRNOG00000007541",51,41,55,19,52,51,796,742,1724,1786,1850
"ENSRNOG00000026610",1353,1344,2605,605,2600,3069,927,934,1876,1579,1475
"ENSRNOG00000009430",3483,3599,6958,1732,7298,9390,1823,1845,3871,3385,3126
"ENSRNOG00000024957",3447,3513,6399,1718,7089,8406,15,18,38,29,19
"ENSRNOG00000024889",791,800,1484,381,1619,2101,924,884,1795,1280,1244
"ENSRNOG00000012616",1225,1292,2146,495,2119,2454,1964,1923,3835,5361,5535
"ENSRNOG00000030862",1027,1079,2076,475,2006,2564,1824,1742,3773,1993,1942
"ENSRNOG00000061851",360,415,747,245,837,997,1889,2011,4147,4090,3812
"ENSRNOG00000013492",2570,2691,4667,1188,5108,6070,4547,4592,10173,10923,11345
"ENSRNOG00000008100",0,1,3,0,1,2,566,553,972,857,907
"ENSRNOG00000027276",2,1,10,0,4,7,14,19,38,53,46
"ENSRNOG00000022323",384,392,609,144,770,861,708,737,1587,1857,2000
"ENSRNOG00000011502",1,1,1,1,0,1,156,158,280,133,169
"ENSRNOG00000007647",0,1,2,1,1,1,21,33,99,85,60
"ENSRNOG00000008555",4790,4800,7495,1875,8020,9152,12532,12414,25442,15763,16076
"ENSRNOG00000008180",133,137,229,60,356,432,1010,1046,2605,2841,2838
"ENSRNOG00000012054",548,518,866,204,971,1130,1250,1217,2812,3862,3932
"ENSRNOG00000012340",3744,3780,7412,1811,6803,8805,2,4,2,6,3
"ENSRNOG00000027357",28,23,23,8,27,32,209,207,377,193,212
"ENSRNOG00000008759",15,14,23,6,36,33,26,20,62,55,86
"ENSRNOG00000012088",2,3,1,1,1,1,0,0,0,0,1
"ENSRNOG00000040151",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000010841",25,35,40,7,58,42,834,853,3706,2106,2587
"ENSRNOG00000067216",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000009656",0,2,1,0,6,9,112,125,382,305,327
"ENSRNOG00000008943",1202,1148,2425,655,2397,3388,346,368,895,833,864
"ENSRNOG00000007174",359,341,423,100,497,624,894,880,1659,1397,1288
"ENSRNOG00000026592",4,5,9,2,9,8,36,48,103,80,68
"ENSRNOG00000008566",934,934,1633,391,1701,1873,1048,1076,2245,2492,2595
"ENSRNOG00000069690",1055,1016,1973,455,2161,2551,1,1,0,1,0
"ENSRNOG00000008871",1,0,2,0,3,0,18,18,47,27,13
"ENSRNOG00000065724",1804,1822,3130,706,2986,3844,719,706,1476,1147,1093
"ENSRNOG00000017426",529,453,890,200,958,1119,1089,1061,2520,3156,3318
"ENSRNOG00000009114",80,83,176,67,159,202,545,546,1351,1368,1519
"ENSRNOG00000069204",298,299,147,33,373,379,0,0,1,1,1
"ENSRNOG00000011332",59,51,112,38,139,143,1033,1057,2644,2407,2378
"ENSRNOG00000008872",75,77,140,36,143,172,275,275,723,681,661
"ENSRNOG00000008846",29,28,46,19,74,80,457,499,1016,779,734
"ENSRNOG00000021609",46,39,86,27,108,106,230,254,577,928,1163
"ENSRNOG00000008156",84,95,142,35,209,210,842,818,1935,2089,2001
"ENSRNOG00000031769",736,759,1418,330,1871,1719,294,320,542,547,561
"ENSRNOG00000014352",264,258,525,133,449,609,164,154,301,334,354
"ENSRNOG00000009488",10,5,5,0,37,44,1,0,2,21,28
"ENSRNOG00000005886",955,993,1757,480,1945,2300,260,292,604,635,719
"ENSRNOG00000028662",5,8,13,0,4,12,136,124,271,244,229
"ENSRNOG00000071045",25,24,79,24,49,86,196,167,348,359,293
"ENSRNOG00000009977",1803,1882,3374,783,3719,4343,6580,6466,14826,15610,15643
"ENSRNOG00000046647",676,635,1232,267,1317,1698,2239,2318,6091,7207,7376
"ENSRNOG00000048129",2452,2336,4083,1155,4628,4768,7,9,13,23,18
"ENSRNOG00000010550",480,516,795,209,940,1028,1016,1015,2243,1777,1823
"ENSRNOG00000063053",0,0,1,1,2,1,0,0,1,7,3
"ENSRNOG00000005669",1266,1232,2500,592,1980,2613,53,62,142,100,68
"ENSRNOG00000032183",8977,9137,17669,4952,19915,21213,662,626,1439,2144,2196
"ENSRNOG00000009683",2828,2817,6091,1458,6470,8167,5839,5852,13441,12956,13199
"ENSRNOG00000009963",507,527,1004,269,1005,1167,1744,1727,4399,3624,3575
"ENSRNOG00000009131",6,9,10,3,14,18,104,104,203,217,213
"ENSRNOG00000065971",0,1,0,0,2,1,2,2,4,5,4
"ENSRNOG00000014762",318,328,563,123,583,747,634,695,1444,1422,1560
"ENSRNOG00000031431",1790,1839,3529,978,3812,4489,1082,1014,2322,2482,2555
"ENSRNOG00000010234",577,639,1019,267,1281,1429,902,883,1973,2302,2500
"ENSRNOG00000024818",82,59,104,36,130,140,1261,1297,3004,3240,3564
"ENSRNOG00000024566",16470,16260,32871,8458,30490,37693,110,126,231,76,43
"ENSRNOG00000005963",1034,1114,1784,411,1946,2249,2386,2355,5372,5458,5802
"ENSRNOG00000027921",678,695,1299,284,1513,1865,1812,1813,4715,3965,3922
"ENSRNOG00000026910",1,0,0,0,1,0,2,4,13,1,2
"ENSRNOG00000010777",123,105,218,56,230,256,576,553,1104,1913,2038
"ENSRNOG00000025724",3318,3462,6682,1750,6183,8460,531,524,1166,829,737
"ENSRNOG00000042421",1158,1181,1969,510,1717,2319,530,545,916,631,724
"ENSRNOG00000066526",2,2,2,0,3,0,3,1,4,0,2
"ENSRNOG00000025424",312,323,640,170,606,686,321,321,689,720,811
"ENSRNOG00000025349",10,6,26,7,22,26,16,29,32,25,26
"ENSRNOG00000063670",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000006689",854,842,1669,407,1057,1295,857,878,1880,587,547
"ENSRNOG00000006919",69,76,4,2,4,7,73,46,170,27,31
"ENSRNOG00000007445",293,286,610,128,602,852,770,746,2080,1783,1849
"ENSRNOG00000026662",399,365,638,166,721,1005,803,822,1861,1458,1461
"ENSRNOG00000007964",60,48,73,17,114,99,100,106,251,336,354
"ENSRNOG00000008055",535,517,770,181,935,1381,284,270,665,840,857
"ENSRNOG00000008124",519,502,1015,237,1062,1353,1705,1588,3863,3082,2967
"ENSRNOG00000026672",1439,1415,3344,834,3365,2745,499,475,1007,1286,1433
"ENSRNOG00000008184",176,171,350,89,411,493,277,286,601,190,112
"ENSRNOG00000048760",10,6,14,2,24,30,15,20,69,52,48
"ENSRNOG00000065922",4,2,3,1,3,6,1,0,12,13,6
"ENSRNOG00000067800",0,0,0,0,0,0,6,2,32,7,17
"ENSRNOG00000070765",101,88,214,54,227,238,1,0,0,1,0
"ENSRNOG00000040040",22,26,70,28,60,58,191,182,338,327,388
"ENSRNOG00000067162",121,143,224,89,306,267,163,171,373,319,302
"ENSRNOG00000016180",760,773,1737,431,1658,1752,1772,1730,4166,2259,2042
"ENSRNOG00000015160",55,43,88,27,117,86,273,301,722,564,609
"ENSRNOG00000070727",3,3,11,3,6,4,0,0,2,0,1
"ENSRNOG00000062635",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000015562",208,206,279,75,329,284,58,45,80,27,35
"ENSRNOG00000063229",493,508,827,195,1005,949,0,1,1,1,1
"ENSRNOG00000055292",71,82,157,34,161,220,58,63,100,173,219
"ENSRNOG00000016330",41,41,81,20,80,113,54,60,114,153,241
"ENSRNOG00000016338",1963,1920,3355,717,3345,4256,513,502,1122,1303,1307
"ENSRNOG00000039924",48,73,81,32,118,130,209,214,479,663,678
"ENSRNOG00000014664",881,976,1620,431,1809,2107,2570,2556,5968,5590,5524
"ENSRNOG00000005673",62,59,98,28,97,121,304,316,715,774,674
"ENSRNOG00000025416",188,196,249,59,306,364,418,475,1176,1354,1373
"ENSRNOG00000008236",296,281,271,69,246,229,925,928,1799,2169,2065
"ENSRNOG00000016187",472,454,937,254,1006,1225,388,443,871,1113,1040
"ENSRNOG00000007456",0,1,3,0,3,5,1,4,13,15,9
"ENSRNOG00000006697",53,53,98,18,95,112,1257,1265,2884,3023,3290
"ENSRNOG00000009358",99,87,215,60,218,266,183,184,428,411,441
"ENSRNOG00000006096",281,261,354,100,390,524,193,172,451,479,545
"ENSRNOG00000007426",229,211,378,93,408,419,60,57,137,81,93
"ENSRNOG00000006498",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000039949",81,89,183,35,177,208,328,295,719,890,912
"ENSRNOG00000006636",94,84,211,63,192,236,134,133,341,357,371
"ENSRNOG00000009389",45,53,73,18,83,82,302,322,605,495,570
"ENSRNOG00000008580",1554,1513,3205,679,3103,3694,1081,1077,2466,2648,2842
"ENSRNOG00000056330",670,714,1056,237,1297,1695,3,4,5,1,1
"ENSRNOG00000007256",8633,8775,14778,3210,15178,19376,24,32,35,16,19
"ENSRNOG00000066027",2,2,13,3,19,5,8,5,28,23,20
"ENSRNOG00000006298",122,129,182,56,273,245,1252,1252,3159,4133,4107
"ENSRNOG00000024903",0,2,2,4,0,0,1,2,4,2,1
"ENSRNOG00000005708",136,125,240,63,280,417,612,612,1484,1859,1630
"ENSRNOG00000063190",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000006084",6,8,18,2,13,16,1,6,7,4,1
"ENSRNOG00000007139",1,5,6,1,11,2,8,8,24,19,21
"ENSRNOG00000007351",45,50,95,19,79,99,157,177,363,267,250
"ENSRNOG00000009974",348,401,911,241,1083,1012,468,487,1112,1001,1092
"ENSRNOG00000010106",9,11,73,15,71,53,104,105,273,422,428
"ENSRNOG00000057692",320,301,1036,269,734,847,0,1,1,0,0
"ENSRNOG00000068938",0,0,0,0,2,0,0,0,1,0,0
"ENSRNOG00000065492",0,0,0,0,0,1,0,0,0,0,0
"ENSRNOG00000056870",414,432,749,201,865,845,3293,3185,6046,7103,7440
"ENSRNOG00000061989",24,25,50,15,49,61,175,182,412,445,468
"ENSRNOG00000026157",64,55,153,51,112,128,88,101,242,182,171
"ENSRNOG00000063283",0,0,1,0,0,0,0,0,0,1,0
"ENSRNOG00000067249",252,223,433,114,401,489,8,6,18,3,2
"ENSRNOG00000025672",126,101,212,51,226,283,41,30,96,10,3
"ENSRNOG00000053456",53,74,47,23,64,49,847,844,1558,1528,1662
"ENSRNOG00000027837",3744,3693,7400,1741,7298,8794,307,278,795,1434,1207
"ENSRNOG00000046548",4,6,46,6,29,30,261,256,629,35,16
"ENSRNOG00000003689",527,561,816,207,928,1072,10770,10778,23410,27481,27347
"ENSRNOG00000069292",0,0,0,0,0,0,0,1,0,2,3
"ENSRNOG00000040427",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070890",0,0,0,0,0,0,0,0,0,0,2
"ENSRNOG00000030048",252,251,488,131,457,684,81,81,180,281,217
"ENSRNOG00000035549",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035555",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000050872",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000060063",26,26,36,16,46,51,488,436,861,867,874
"ENSRNOG00000003596",2,0,0,1,2,5,15,19,18,20,37
"ENSRNOG00000040404",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000013092",543,524,949,228,941,1174,267,256,651,1701,1731
"ENSRNOG00000035544",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064087",0,0,0,0,0,0,1,0,0,0,1
"ENSRNOG00000036245",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066689",367,374,657,178,653,707,54,45,109,94,47
"ENSRNOG00000048556",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035579",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035581",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000054765",40,52,68,16,89,68,139,115,262,436,445
"ENSRNOG00000002800",0,0,2,0,4,5,5,5,19,18,20
"ENSRNOG00000035464",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000028899",93,110,185,46,193,242,791,858,1977,1768,1708
"ENSRNOG00000040357",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000041260",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070486",0,0,5,0,2,4,6,5,6,6,3
"ENSRNOG00000047862",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000041210",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069684",0,0,0,0,1,0,3,5,2,7,16
"ENSRNOG00000041199",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000059675",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000026573",41,58,148,28,91,140,445,379,987,786,766
"ENSRNOG00000003782",52,52,81,16,90,86,808,867,1772,1270,1350
"ENSRNOG00000060869",224,224,362,80,415,360,1235,1263,2788,4190,4553
"ENSRNOG00000036269",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000048590",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000060270",0,0,0,0,2,0,0,0,1,1,1
"ENSRNOG00000036273",0,0,0,0,0,0,0,0,0,1,0
"ENSRNOG00000028085",343,393,769,216,749,953,544,537,1411,324,290
"ENSRNOG00000035652",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000022855",51,60,120,27,96,131,74,78,182,68,31
"ENSRNOG00000035631",0,0,0,0,0,0,0,1,0,0,1
"ENSRNOG00000035635",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000052097",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000046748",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000040422",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035546",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000061073",54,51,86,17,103,110,1901,1820,4012,5092,5141
"ENSRNOG00000059766",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035656",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000057814",72,79,79,23,71,99,1091,1124,2107,1327,1348
"ENSRNOG00000028984",2,0,0,0,0,0,2,0,0,1,0
"ENSRNOG00000070777",34,30,106,21,92,120,65,72,107,129,144
"ENSRNOG00000067246",6,2,16,0,19,18,6,3,18,12,7
"ENSRNOG00000047872",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000039994",518,463,1071,204,874,1272,613,589,1294,1797,1807
"ENSRNOG00000051836",6,8,13,2,19,13,124,105,259,72,48
"ENSRNOG00000003543",0,1,2,0,4,3,17,9,24,15,15
"ENSRNOG00000009049",1415,1372,3263,888,2801,3625,4090,4096,9219,6344,6099
"ENSRNOG00000025910",175,195,360,86,320,418,414,420,978,1128,1139
"ENSRNOG00000010365",9,20,31,2,32,12,64,70,152,162,150
"ENSRNOG00000054352",271,245,433,95,513,508,2999,3037,5948,5824,5599
"ENSRNOG00000070642",0,0,0,0,1,0,0,0,1,0,0
"ENSRNOG00000007682",47,38,59,13,121,103,371,356,810,928,876
"ENSRNOG00000066771",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000010208",346,369,148,47,288,210,2325,2266,4017,3451,3709
"ENSRNOG00000004016",217,246,507,110,426,537,925,952,2063,2933,3232
"ENSRNOG00000054548",3,1,1,0,1,3,2,8,14,29,19
"ENSRNOG00000002904",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000010838",135,141,190,60,280,245,873,845,1700,2014,2133
"ENSRNOG00000032472",14,12,8,4,10,11,37,28,115,137,124
"ENSRNOG00000013170",7,3,9,0,9,7,87,76,210,180,163
