"","SRR6396793","SRR6396794","SRR6396795","SRR6396796","SRR6396797","SRR6396798","SRR6396799","SRR6396800","SRR6396801","SRR6396802","SRR6396803"
"ENSRNOG00000065397",0,0,0,0,0,0,0,0,0,1,0
"ENSRNOG00000040447",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000033706",3,5,3,1,8,7,11,10,28,17,17
"ENSRNOG00000031947",7,2,10,3,9,9,23,43,69,36,36
"ENSRNOG00000016565",17,20,38,13,32,22,137,148,371,387,332
"ENSRNOG00000066104",38,36,128,22,69,109,10,4,6,10,11
"ENSRNOG00000066508",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000061455",0,0,1,0,0,0,0,0,0,0,0
"ENSRNOG00000019138",28,29,52,16,48,79,180,188,792,1792,2336
"ENSRNOG00000015424",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000013198",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000056351",0,0,0,0,0,2,0,3,5,0,0
"ENSRNOG00000065052",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035572",0,0,0,0,0,0,1,0,0,1,2
"ENSRNOG00000069359",0,1,1,1,0,0,0,0,1,5,4
"ENSRNOG00000069866",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068014",0,1,0,0,1,0,0,0,1,0,6
"ENSRNOG00000065728",54,53,142,23,135,142,2,0,0,2,1
"ENSRNOG00000065649",273,248,593,129,613,757,143,138,329,321,317
"ENSRNOG00000066961",269,263,526,121,535,601,15,9,38,18,7
"ENSRNOG00000068275",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000053559",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035553",0,1,0,0,0,2,2,3,3,4,8
"ENSRNOG00000056667",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064785",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000050663",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064423",2705,2738,9708,2403,7455,9503,3,6,18,17,19
"ENSRNOG00000063455",0,0,0,0,0,0,0,0,0,3,3
"ENSRNOG00000016574",1117,1161,2686,763,2916,3312,881,885,1936,2149,2187
